Date,3264,3395,21031,54660,55502,55711,55863,56035,60877,60952,61454,61904,61949,62182,62487,62509,72062,72187,72891,73055,73343,73858,73957,74565,74839,75026,75027,75028,75802,76749,76750,76751,76932,77258,77584,78048,78105,78282,78468
2015-03-04,P,P,P,P,UL,P,P,CL,P,P,ATT,P,P,ATT,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA
2015-03-05,P,P,P,P,P,P,ATT,CL,P,P,ATT,P,P,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA,NA
2015-03-06,HOL,HOL,HOL,HOL,HOL,HOL,ATT,HOL,HOL,HOL,ATT,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,HOL,NA,NA
2015-03-07,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA
2015-03-08,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA,NA
2015-03-09,P,P,P,P,P,P,ATT,P,P,P,ATT,P,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-10,P,P,P,P,P,P,ATT,P,P,P,ATT,P,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,UL,P,P,P,P,P,P,P,P,P,NA
2015-03-11,P,P,P,P,P,P,ATT,P,P,P,ATT,P,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-12,P,P,P,P,P,P,ATT,P,P,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-13,P,P,P,P,P,P,ATT,P,P,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-14,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA
2015-03-15,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA
2015-03-16,P,P,P,P,P,P,ATT,P,P,PL,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,UL,P,P,P,NA
2015-03-17,P,PL,P,P,P,P,ATT,P,P,PL,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,UL,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-18,P,P,P,P,P,P,ATT,P,P,P,ATT,ATT,ATT,ATT,P,UL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-19,P,P,P,P,P,P,ATT,P,P,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-20,P,P,P,P,P,P,ATT,P,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,UL,P,P,P,P,P,P,P,P,P,NA
2015-03-21,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA
2015-03-22,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA
2015-03-23,P,P,P,P,P,P,ATT,P,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,PL,P,P,P,P,NA
2015-03-24,P,P,P,P,P,P,ATT,P,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-25,P,P,P,P,P,P,ATT,P,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-26,P,P,P,P,P,P,ATT,P,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,UL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-27,P,P,P,P,P,P,ATT,P,ATT,P,ATT,ATT,ATT,ATT,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-03-28,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA
2015-03-29,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,NA
2015-03-30,P,P,P,ATT,P,P,ATT,P,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,NA
2015-03-31,P,P,P,ATT,P,P,ATT,P,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,p,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-04-01,P,P,P,ATT,P,P,ATT,P,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,NA
2015-04-02,P,P,P,ATT,P,P,ATT,ATT,ATT,PL,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,PL,P,PL,P,PL,P,P,P,P,P,P,P,P,P,P,NA
2015-04-03,Holiday,Holiday,Holiday,ATT,Holiday,Holiday,ATT,ATT,ATT,Holiday,ATT,ATT,ATT,ATT,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday
2015-04-04,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-05,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-06,P,P,PL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,UL,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,UL,P,P,P,P
2015-04-07,P,P,PL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,PL,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-08,P,P,PL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-09,P,P,PL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,UL,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-10,P,P,PL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,PL,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-11,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-12,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-13,P,PL,P,ATT,PL,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,PL,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-14,P,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,PL,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-15,P,P,UL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,UL,P,P,UL,P,PL,P,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P
2015-04-16,P,P,UL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-17,P,P,UL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-18,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-19,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-20,PL,UL,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-21,PL,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-22,PL,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-23,P,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,PL,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-24,P,P,P,ATT,P,CL,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-25,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-26,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-27,P,P,P,ATT,P,P,ATT,ATT,ATT,UL,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,PL,P,P,UL,P,P,P,P,P,P,UL,P,P,P,P,P,P,P
2015-04-28,P,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-29,UL,P,P,ATT,P,PL,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,UL
2015-04-30,P,P,P,ATT,P,PL,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,UL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,UL,P,P,P,P
2015-05-04,P,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,UL,P,P,P,P,P,P,P,P,P,UL,P,P,UL,P,P,P,P,UL,P,P,P,UL
